Year,production,consumption,imports,Exports,Population,Immigration,GDP,Gross CO2,oil rigs,CO2 world,CO2 uae,energy generation,energy consumption,change primary energy consumption,oil reserves
1973,1420,3.425611,0,2.529857632,424899,61706,106476.272,30605392,15,8223546000,1179808,0,45958.285,52.39073,3835922000
1974,1390,4.745511,0,2.492427977,454769,62706,108847.897,31301552,10,8105394000,1714551,0,45319.484,6.9143176,3965784000
1975,1090,7.674208,0,2.492608018,504499,63706,111219.522,31045072,9,8036563000,2502512,0,43906.457,29.667187,4015322000
1976,1900,11.275235,0,2.064011643,524499,64706,113591.147,39617012,17,8538575400,4337775,0,49154.797,9.867382,4023523000
1977,1920,16.6765,0,2.581288404,544499,66283,115962.772,38751290,15,8838886000,7541225,0,70213.055,7.0135117,4045924000
1978,1730,18.40331,0,2.597808306,590112,68141,118334.397,44753588,14,9155993000,8434528,0,71408.195,26.53495,4045924000
1979,1830,25.050383,0,2.492589754,703321,70211,120706.022,36546456,13,9272928000,9267184,0,74367.78,64.39586,4117924000
1980,1740,60.186413,0,2.438522973,823888,71211,123077.647,36823400,14,8948316000,9012544,0,106657.02,15.855467,4147924000
1981,1580,65.38087,0,2.147047525,917929,71001,125449.272,36766936,11,8546783000,13097497,0,114460.664,17.494656,4388806000
1982,1410,72.39598,0,2.20823509,1032340,71431,127820.897,36752772,14,8341168000,14190672,0,116423.29,60.088516,4413085700
1983,1060,72.50278,0,2.188999443,1112570,71989,130192.522,35220452,15,8256587000,14080752,0,105459.9,16.431713,4411176000
1984,1200,82.79179,0,2.394165759,1245588,70891,132564.147,46155644,12,8323762700,16161903,0,124239.04,7.9708934,4431636500
1985,1100,102.96353,0,2.529193116,1353567,69891,134935.772,49652536,12,8322069500,17706812,12.185,146159.64,-4.0088835,4499836400
1986,1180,124.55972,0,2.055675039,1468697,68733,136870.9,47030090,10,8571332000,16651587,12.815,166396.86,24.542343,13258490000
1987,1240,136.3821,0,2.0498779,1575909,68141,111696.016,47450350,9,8643077000,16213200,13.658,173281.83,24.046444,13381522000
1988,1170,163.62752,0,2.145778022,1683681,67441,118933.2,48095596,17,8960305000,18301680,14.84,179298.47,21.203672,13381522000
1989,1650,171.78244,0,2.060915107,1791840,66283,130385.086,54186136,15,9116431000,19521792,15.612,189840.28,11.739516,13381522000
1990,2050,180.0802,0,2.3760823,1900151,64939,144841.36,51703772,14,9245104000,17623840,17.081,181538.77,10.54846,13380839000
1991,2450,222.32744,0,2.049887597,2008383,64706,126837.95,56673424,13,9708478000,17436976,17.222,209539.7,12.681234,13380839000
1992,2440,223.88316,0,2.021393677,2116231,63263,124853.06,57757056,14,9211256000,20574664,18.689,192178.88,1.4074922,13380839000
1993,2240,231.98035,0,2.117608351,2223284,62946,95483.18,65565560,14,9218414000,27489458,21.73,190470.22,21.998596,13380839000
1994,2180,243.25163,0,2.39636816,2329024,59748,95831.77,75010504,7,9254096000,28563106,23.736,199513.67,-3.3603907,13380839000
1995,2240,243.1685,0,2.522840514,2433988,64261,100359.41,72463500,14,9338960000,22065760,24.982,199207.39,4.1246295,13380839000
